% BatcherQueue	CReqBatcher	Replica-0-Forward	Replica-1-Forward	Replica-2-Forward	ReplicaIOSnd-0	ReplicaIOSnd-2	ReqManExec	pendingCReqs	pendingProposals	alpha
10203	4	0	2338	978	0	0	0	0	326	2	2
10404	0	0	2435	979	0	0	0	0	336	0	1
10604	0	0	2623	981	0	0	0	1	320	0	1
10804	0	0	2644	1008	0	0	0	0	318	0	0
11005	0	0	2761	1016	0	0	0	0	317	0	1
11205	0	0	2800	1044	0	0	0	0	336	0	0
11411	0	0	2864	1068	0	0	0	0	330	1	1
11611	22	0	2903	1068	0	0	0	0	331	0	0
11811	0	0	2995	1164	0	0	0	0	336	0	0
12011	81	0	3134	1220	0	0	0	1	324	0	0
12211	0	0	3205	1232	0	0	0	0	328	1	2
12411	18	0	3310	1243	0	0	0	0	336	0	2
12612	0	0	3436	1249	0	0	0	0	335	0	0
12814	0	0	3571	1256	0	0	0	1	335	0	2
13014	0	0	3583	1273	0	4	0	0	335	0	0
13214	0	0	3721	1303	0	0	0	1	312	0	0
13414	0	0	3825	1310	0	0	0	0	302	0	1
13614	0	0	3949	1314	0	0	0	1	278	0	0
13815	3	0	3977	1314	0	0	0	0	254	0	1
14015	0	0	4081	1315	0	0	0	0	163	1	0
14215	0	0	4212	1316	0	0	0	0	107	0	0
14415	0	0	4331	1316	0	0	0	0	84	0	0
14615	0	0	4410	1316	0	0	0	0	74	0	0
14816	19	0	4549	1316	0	0	0	0	67	0	0
15016	0	0	4644	1316	0	0	0	0	66	0	0
15216	0	0	4797	1316	0	0	0	0	60	0	2
15416	0	0	4880	1316	0	0	0	0	20	0	0
15616	0	0	5019	1316	0	0	0	0	13	0	1
15816	0	0	5158	1316	0	0	0	0	8	1	2
16017	0	0	5268	1316	0	0	0	0	2	0	0
16217	0	0	5399	1316	0	0	0	0	2	0	1
16417	6	0	5575	1316	0	0	0	0	1	0	0
16617	0	0	5738	1316	0	0	0	1	0	0	0
16817	0	0	5900	1316	0	0	0	1	0	0	1
17017	3	0	6088	1316	0	0	0	0	0	0	2
17217	0	0	6299	1316	0	0	0	0	0	2	1
17417	0	0	6364	1316	0	0	0	1	0	0	0
17618	0	0	6667	1316	0	0	0	0	0	1	2
17818	0	0	6736	1316	0	0	0	1	0	0	0
18018	0	0	6928	1316	0	0	0	1	0	1	0
18218	0	0	7037	1316	0	0	0	0	0	0	0
18418	0	0	7119	1316	0	0	0	1	0	0	0
18618	0	0	7255	1316	0	0	0	0	0	0	0
18818	2	0	7439	1316	0	0	0	0	0	0	1
19018	0	0	7567	1316	0	0	0	0	0	0	1
19218	0	0	7733	1316	0	0	0	1	0	0	0
19418	0	0	7816	1316	0	0	0	0	0	0	0
19618	0	0	7945	1316	0	0	0	0	0	0	2
19818	0	0	8065	1316	0	0	0	0	0	0	0
20019	0	0	8121	1316	0	0	0	1	0	0	0
20219	0	0	8187	1316	0	0	0	0	0	0	1
20421	17	0	8281	1316	0	0	0	0	0	0	1
20622	32	0	8341	1316	0	0	0	1	0	1	0
20822	0	0	8399	1316	0	0	0	0	0	0	0
21029	0	0	8459	1316	0	0	0	0	0	1	0
21229	0	0	8576	1316	0	0	0	0	0	0	1
21443	0	0	8684	1316	0	0	0	0	0	0	0
21643	0	0	8684	1316	0	0	0	0	0	0	0
21843	0	0	8684	1316	0	0	0	0	0	0	0
22043	0	0	8684	1316	0	0	0	0	0	0	0
22243	0	0	8684	1316	0	0	0	0	0	0	0
22444	0	0	8684	1316	0	0	0	0	0	0	0
22644	0	0	8684	1316	0	0	0	0	0	0	0
22844	0	0	8684	1316	0	0	0	0	0	0	0
23044	0	0	8684	1316	0	0	0	0	0	0	0
23245	0	0	8684	1316	0	0	0	0	0	0	0
23445	0	0	8684	1316	0	0	0	0	0	0	0
23645	0	0	8684	1316	0	0	0	0	0	0	0
23845	0	0	8684	1316	0	0	0	0	0	0	0
24045	0	0	8684	1316	0	0	0	0	0	0	0
24245	0	0	8684	1316	0	0	0	0	0	0	0
24445	0	0	8684	1316	0	0	0	0	0	0	0
